opaque_id,Airport,ICAO code,IATA code
task_000000000000000000246371,John F. Kennedy International Airport,KJFK,JFK
task_000000000000000000246371,Los Angeles International Airport,KLAX,LAX
task_000000000000000000246371,Chicago O'Hare International Airport,KORD,ORD
task_000000000000000000246371,Hartsfield Jackson Atlanta International Airport,KATL,ATL
task_000000000000000000246371,Dallas Fort Worth International Airport,KDFW,DFW
task_000000000000000000246371,Denver International Airport,KDEN,DEN
task_000000000000000000246371,San Francisco International Airport,KSFO,SFO
task_000000000000000000246371,Boston Logan International Airport,KBOS,BOS
task_000000000000000000246372,Seattle–Tacoma International Airport,KSEA,SEA
task_000000000000000000246372,Phoenix Sky Harbor International Airport,KPHX,PHX
task_000000000000000000246372,Minneapolis–Saint Paul International Airport / Wold–Chamberlain Field,KMSP,MSP
task_000000000000000000246372,Miami International Airport,KMIA,MIA
task_000000000000000000246372,Orlando International Airport,KMCO,MCO
task_000000000000000000246372,Washington Dulles International Airport,KIAD,IAD
task_000000000000000000246372,George Bush Intercontinental Airport,KIAH,IAH
task_000000000000000000246372,Harry Reid International Airport,KLAS,LAS
task_000000000000000000246373,London Heathrow Airport,EGLL,LHR
task_000000000000000000246373,Charles de Gaulle International Airport,LFPG,CDG
task_000000000000000000246373,Amsterdam Airport Schiphol,EHAM,AMS
task_000000000000000000246373,Rome–Fiumicino Leonardo da Vinci International Airport,LIRF,FCO
task_000000000000000000246373,Munich Airport,EDDM,MUC
task_000000000000000000246373,Zürich Airport,LSZH,ZRH
task_000000000000000000246373,Josep Tarradellas Barcelona-El Prat Airport,LEBL,BCN
task_000000000000000000246373,Adolfo Suárez Madrid–Barajas Airport,LEMD,MAD
task_000000000000000000246374,Dublin Airport,EIDW,DUB
task_000000000000000000246374,Copenhagen Kastrup Airport,EKCH,CPH
task_000000000000000000246374,Helsinki Vantaa Airport,EFHK,HEL
task_000000000000000000246374,Brussels Airport,EBBR,BRU
task_000000000000000000246374,Vienna International Airport,LOWW,VIE
task_000000000000000000246374,Lisbon Humberto Delgado Airport,LPPT,LIS
task_000000000000000000246374,Warsaw Chopin Airport,EPWA,WAW
task_000000000000000000246374,Václav Havel Airport Prague,LKPR,PRG
task_000000000000000000246375,Frankfurt Main Airport,EDDF,FRA
task_000000000000000000246375,İstanbul Airport,LTFM,IST
task_000000000000000000246375,Athens Eleftherios Venizelos International Airport,LGAV,ATH
task_000000000000000000246375,Stockholm-Arlanda Airport,ESSA,ARN
task_000000000000000000246375,Oslo-Gardermoen International Airport,ENGM,OSL
task_000000000000000000246375,Berlin Brandenburg Airport,EDDB,BER
task_000000000000000000246375,Milan Malpensa International Airport,LIMC,MXP
task_000000000000000000246375,Manchester Airport,EGCC,MAN
task_000000000000000000246376,Singapore Changi Airport,WSSS,SIN
task_000000000000000000246376,Hong Kong International Airport,VHHH,HKG
task_000000000000000000246376,Incheon International Airport,RKSI,ICN
task_000000000000000000246376,Narita International Airport,RJAA,NRT
task_000000000000000000246376,Suvarnabhumi Airport,VTBS,BKK
task_000000000000000000246376,Kuala Lumpur International Airport,WMKK,KUL
task_000000000000000000246376,Chhatrapati Shivaji Maharaj International Airport,VABB,BOM
task_000000000000000000246376,Hamad International Airport,OTHH,DOH
task_000000000000000000246377,Dubai International Airport,OMDB,DXB
task_000000000000000000246377,Zayed International Airport,OMAA,AUH
task_000000000000000000246377,King Abdulaziz International Airport,OEJN,JED
task_000000000000000000246377,Beijing Capital International Airport,ZBAA,PEK
task_000000000000000000246377,Shanghai Pudong International Airport,ZSPD,PVG
task_000000000000000000246377,Guangzhou Baiyun International Airport,ZGGG,CAN
task_000000000000000000246377,Taiwan Taoyuan International Airport,RCTP,TPE
task_000000000000000000246377,Ninoy Aquino International Airport,RPLL,MNL
task_000000000000000000246378,Soekarno-Hatta International Airport,WIII,CGK
task_000000000000000000246378,Noi Bai International Airport,VVNB,HAN
task_000000000000000000246378,Tan Son Nhat International Airport,VVTS,SGN
task_000000000000000000246378,Cairo International Airport,HECA,CAI
task_000000000000000000246378,O.R. Tambo International Airport,FAOR,JNB
task_000000000000000000246378,Jomo Kenyatta International Airport,HKJK,NBO
task_000000000000000000246378,Kotoka International Airport,DGAA,ACC
task_000000000000000000246378,Mohammed V International Airport,GMMN,CMN
task_000000000000000000246379,Addis Ababa Bole International Airport,HAAB,ADD
task_000000000000000000246379,Murtala Muhammed International Airport,DNMM,LOS
task_000000000000000000246379,Cape Town International Airport,FACT,CPT
task_000000000000000000246379,Blaise Diagne International Airport,GOBD,DSS
