opaque_id,Organization,ROR ID,Country code
task_000000000000000000246451,Politeknik LP3I Medan,049vsyk57,ID
task_000000000000000000246451,Hôpital de Jonquière,03t2rer78,CA
task_000000000000000000246451,Yokosuka Council on Asia Pacific Studies,03yb84g91,JP
task_000000000000000000246451,Universidad de Granada,04njjy449,ES
task_000000000000000000246452,Institut Al Fithrah Surabaya,044fxd443,ID
task_000000000000000000246452,Helmholtz Alliance Imaging and Curing Environmental Metabolic Diseases,04s64z252,DE
task_000000000000000000246452,Østfold University of Applied Sciences,04gf7fp41,NO
task_000000000000000000246452,Onaizah Colleges,03sha9j83,SA
task_000000000000000000246453,Akademie für Altersforschung am Haus der Barmherzigkeit,03r21sz47,AT
task_000000000000000000246453,Haldia Government College,04cbdqy73,IN
task_000000000000000000246453,East Jeddah Hospital,04afsdm50,SA
task_000000000000000000246453,Statewide California Earthquake Center,03vhnve41,US
task_000000000000000000246454,Institut des Sciences Analytiques,03s5z5x70,FR
task_000000000000000000246454,Polymer Processing Institute,049ap7h93,US
task_000000000000000000246454,"Visoka škola ""Logos centar"" Mostaru",04b0p8636,BA
task_000000000000000000246454,National Cereals Research Institute,04p4abm19,NG
task_000000000000000000246455,Politeknik Astra,03r86hv50,ID
task_000000000000000000246455,Cossham Hospital,04e0p7290,GB
task_000000000000000000246455,Contraception & Abortion Research Team – Groupe de recherche sur l’avortement et la contraception,040wj0x86,CA
task_000000000000000000246455,Baoshan University,04t69c375,CN
task_000000000000000000246456,Laboratoire Reproduction et Développement des Plantes,04w61vh47,FR
task_000000000000000000246456,University of Kalyani,03v783k16,IN
task_000000000000000000246456,International Center for Monetary and Banking Studies,04mh3q120,CH
task_000000000000000000246456,Corporación Centro de Desarrollo Tecnológico del Gas,03y3mbd59,CO
task_000000000000000000246457,Warith International Cancer Institute,04rdwrg03,IQ
task_000000000000000000246457,Black Health Alliance,040yrtc75,CA
task_000000000000000000246457,American Society for Emergency Contraception,03fz4t607,US
task_000000000000000000246457,Universidade do Porto,043pwc612,PT
task_000000000000000000246458,Equipe de recherche de Lyon en Sciences de l'Information et de la Communication,04y24xj84,FR
task_000000000000000000246458,Chitralada Technology Institute,04gzyyd34,TH
task_000000000000000000246458,Université de Saida Dr Moulay Tahar,03mwqca46,DZ
task_000000000000000000246458,Frenchay Hospital,03z8x2j90,GB
task_000000000000000000246459,"Rapti Academy of Health Sciences, Dang, Nepal",04026dh93,NP
task_000000000000000000246459,Fundación Saimiri de Costa Rica,03ye5q709,CR
task_000000000000000000246459,Huzhou Normal University,04mvpxy20,CN
task_000000000000000000246459,Leipzig University,03s7gtk40,DE
task_00000000000000000024645a,Government of South Australia,04g3scy39,AU
task_00000000000000000024645a,German Reproducibility Network,04r906e43,DE
task_00000000000000000024645a,Trường Đại học Nghệ An,04v5ws439,VN
task_00000000000000000024645a,Jeddah First Health Cluster,03sbrg850,SA
task_00000000000000000024645b,Université Privée de Marrakech,04v0tn392,MA
task_00000000000000000024645b,Ad-din Women's Medical College,044phck88,BD
task_00000000000000000024645b,"State Institution ""V. Danilevsky Institute for Endocrine Pathology Problems of NAMS of Ukraine""",04fwp5r61,UA
task_00000000000000000024645b,Süleyman Demirel Üniversitesi,04fjtte88,TR
task_00000000000000000024645c,Bharathiar University,04fht8c22,IN
task_00000000000000000024645c,CEF.- Santo Domingo,03qj3np46,DO
task_00000000000000000024645c,Holo Global Health Research Institute,04x61qf31,KE
task_00000000000000000024645c,Surigao del Norte State University,046wt2614,PH
