opaque_id,Country,Individuals using the Internet (% of population) [IT.NET.USER.ZS] @2022,"Life expectancy at birth, total (years) [SP.DYN.LE00.IN] @2022"
task_00000000000000000024733d,Kenya,29.40589905,63.549
task_00000000000000000024733d,"Macao SAR, China",89.48549652,83.0804878048781
task_00000000000000000024733d,"Iran, Islamic Rep.",81.71649933,76.799
task_00000000000000000024733d,Luxembourg,98.24203749,82.9463414634147
task_00000000000000000024733e,Honduras,56.88069916,72.715
task_00000000000000000024733e,Comoros,31.37409973,66.481
task_00000000000000000024733e,Naoero,83.22660065,61.93
task_00000000000000000024733e,Jordan,90.4999984,77.088
task_00000000000000000024733f,Belgium,94.00783071,81.7487804878049
task_00000000000000000024733f,St. Lucia,66.95159912,72.67
task_00000000000000000024733f,Gabon,67.67169952,67.713
task_00000000000000000024733f,Palau,82.56749725,68.922
task_000000000000000000247340,Afghanistan,15.86629963,65.617
task_000000000000000000247340,Bulgaria,79.12686326,74.1609756097561
task_000000000000000000247340,Costa Rica,82.59801121,79.316
task_000000000000000000247340,Benin,30.53730011,60.475
task_000000000000000000247341,"Hong Kong SAR, China",95.61357052,83.6609756097561
task_000000000000000000247341,Djibouti,63.77600098,65.54
task_000000000000000000247341,Albania,82.61367544,78.769
task_000000000000000000247341,Jamaica,85.84329987,71.481
task_000000000000000000247342,Mauritius,75.5,73.5146341463415
task_000000000000000000247342,"Micronesia, Fed. Sts.",39.0279007,66.961
task_000000000000000000247342,Lebanon,81.46479797,78.003
task_000000000000000000247342,Belarus,89.50733148,74.1033658536585
task_000000000000000000247343,Cuba,67.88410187,77.629
task_000000000000000000247343,Sierra Leone,21.50880051,61.275
task_000000000000000000247343,New Zealand,93.07289886,81.9585365853658
task_000000000000000000247343,Malta,91.54062209,82.2975609756098
task_000000000000000000247344,Hungary,89.14282688,75.8682926829268
task_000000000000000000247344,Bolivia,72.62270355,67.434
task_000000000000000000247344,Equatorial Guinea,63.65950012,63.355
task_000000000000000000247344,Brunei Darussalam,98.97042579,72.917
task_000000000000000000247345,Bahrain,100,80.992
task_000000000000000000247345,Poland,86.94113479,77.1560975609756
task_000000000000000000247345,"Bahamas, The",92.2559967,74.491
task_000000000000000000247345,Cote d'Ivoire,38.41328122,61.562
task_000000000000000000247346,Fiji,72.56549835,67.148
task_000000000000000000247346,"Egypt, Arab Rep.",72.19806556,71.01
task_000000000000000000247346,Georgia,78.71127536,74.141
task_000000000000000000247346,Ecuador,69.71811356,76.577
task_000000000000000000247347,Zambia,15,65.279
task_000000000000000000247347,Mongolia,81.07720184,71.9007317073171
task_000000000000000000247347,Ukraine,80.47429657,72.658
task_000000000000000000247347,Dominican Republic,81.51269675,74.211
task_000000000000000000247348,Madagascar,17.81170082,63.068
task_000000000000000000247348,Lao PDR,64.54000092,68.715
task_000000000000000000247348,Armenia,77.02767465,74.7658536585366
task_000000000000000000247348,Dominica,80.57980347,71.081
