INFO: Pandarallel will run on 8 workers.
INFO: Pandarallel will use Memory file system to transfer data between the main process and workers.
{"event": "eval_start", "selected": 7, "resume_committed": 0, "committed_errors": 0, "crash_only_resume": false}
2026-08-13 18:04:43.531 | DEBUG    | eval.evaluation.data_loader:extract_dataframe:167 - find markdown_str 
| 产品系列 | 产品名称 | 芯片名称 | 发布日期 | 总线接口 | 显存容量 | 显存类型 | 显存位宽 | 核心频率( ...
2026-08-13 18:04:59.813 | INFO     | eval.evaluation.metric_utils:primary_key_preprocess:246 - primary_key_preprocess result: ```json
{
  "RIVA 128": "Riva 128",
  "RIVA 128 ZX": "Riva 128ZX",
  "RIVA TNT": "Riva TNT",
  "Vanta LT": "Vanta LT",
  "RIVA TNT2": "Riva TNT2",
  "RIVA TNT2 Ultra": "Riva TNT2 Ultra",
  "RIVA TNT2 M64": "Riva TNT2 M64",
  "GeForce 256 SDR": "GeForce 256 SDR",
  "GeForce 256 DDR": "GeForce 256 DDR",
  "GeForce2 GTS": "GeForce2 GTS",
  "GeForce2 MX": "GeForce2 MX",
  "GeForce2 Ultra": "GeForce2 Ultra",
  "GeForce2 MX200": "GeForce2 MX 200",
  "GeForce2 MX400": "GeForce2 MX 400",
  "GeForce3": "GeForce3",
  "GeForce3 Ti 200": "GeForce3 Ti200",
  "GeForce3 Ti 500": "GeForce3 Ti500",
  "GeForce4 MX 420": "GeForce4 MX 420",
  "GeForce4 MX 440": "GeForce4 MX 440",
  "GeForce4 MX 460": "GeForce4 MX 460",
  "GeForce4 Ti 4200": "GeForce4 Ti 4200",
  "GeForce4 Ti 4400": "GeForce4 Ti 4400",
  "GeForce4 Ti 4600": "GeForce4 Ti 4600",
  "GeForce FX 5200": "GeForce FX 5200",
  "GeForce FX 5600": "GeForce FX 5600",
  "GeForce FX 5700": "GeForce FX 5700",
  "GeForce FX 5800": "GeForce FX 5800",
  "GeForce FX 5800 Ultra": "GeForce FX 5800 Ultra",
  "GeForce FX 5900": "GeForce FX 5900",
  "GeForce FX 5900 Ultra": "GeForce FX 5900 Ultra",
  "GeForce FX 5950 Ultra": "GeForce FX 5950 Ultra",
  "GeForce 6200": "GeForce 6200",
  "GeForce 6600": "GeForce 6600",
