opaque_id,Organization,ROR ID,Country code
task_000000000000000000247301,Institut Syariah Negeri Junjungan Bengkalis,04y3nxh06,ID
task_000000000000000000247301,Berhampur University,03m3xkg41,IN
task_000000000000000000247301,Graduate Institute of International and Development Studies,007ygn379,CH
task_000000000000000000247301,Gibbeum General Hospital,027ekq983,KR
task_000000000000000000247302,Alzheimer Society of Canada,03benss35,CA
task_000000000000000000247302,Society of Vascular and Interventional Neurology,04h2kan91,US
task_000000000000000000247302,Helmholtz Association of German Research Centres,0281dp749,DE
task_000000000000000000247302,Universidad Dr. Andrés Bello,05ke4zy29,SV
task_000000000000000000247303,Sekolah Tinggi Teologi Baptis Kalvari Jakarta,033d3jw18,ID
task_000000000000000000247303,Calgary Foothills Primary Care Network,04sgt8794,CA
task_000000000000000000247303,Faridpur Medical College,058hsmw86,BD
task_000000000000000000247303,Fundação Universitária Mário Martins,04g5ymh63,BR
task_000000000000000000247304,Sekolah Tinggi Ilmu Kesehatan Pemkab Purworejo,00hrvjz34,ID
task_000000000000000000247304,Alliance for South Asian Aids Prevention,0466yja25,CA
task_000000000000000000247304,German Breast Group,03c8hnh70,DE
task_000000000000000000247304,Suleyman Demirel University Research and Education Hospital,00dpzx715,TR
task_000000000000000000247305,Akademi Kesehatan John Paul II Pekanbaru,04q1z8m23,ID
task_000000000000000000247305,Bristol Eye Hospital,01w151e64,GB
task_000000000000000000247305,Institut National Polytechnique Félix Houphouët-Boigny,03f915n15,CI
task_000000000000000000247305,Kolehiyo ng Pantukan,045j1ne45,PH
task_000000000000000000247306,Nilgiri College of Arts and Science,0033ta369,IN
task_000000000000000000247306,Continental Florida University,057jjnv35,US
task_000000000000000000247306,National Park Service,044zqqy65,US
task_000000000000000000247306,Department of Water Resources and Irrigation,04dv23n89,NP
task_000000000000000000247307,Kaziranga English Academy,02m0c2x49,IN
task_000000000000000000247307,Institute of Biological and Medical Imaging,05g95eg64,DE
task_000000000000000000247307,Instituto Tecnológico Superior de Teziutlán,035c3rc79,MX
task_000000000000000000247307,Tecnológico del Valle del Guadiana,05bfvpz78,MX
task_000000000000000000247308,Parala Maharaja Engineering College,043n3me15,IN
task_000000000000000000247308,Konstantinion Research Center of Molecular Medicine and Biotechnology,02s5hv695,GR
task_000000000000000000247308,WageIndicator Foundation,02xs9jt02,NL
task_000000000000000000247308,Universidad La Salle Victoria,05vp0ak07,MX
task_000000000000000000247309,Fédération de Recherche sur l'Energie Solaire,0459fdx51,FR
task_000000000000000000247309,Coalition for Aligning Science,00rf4ez40,US
task_000000000000000000247309,Centro Universitario Sagrada Familia,035tsm698,ES
task_000000000000000000247309,Fundación Omar Dengo,03wsx1242,CR
task_00000000000000000024730a,Laboratoire AstroParticule et Cosmologie,03tnjrr49,FR
task_00000000000000000024730a,The Laurier Institution,03fp9z771,CA
task_00000000000000000024730a,Nürnberg Institut für Marktentscheidungen e.V.,03hm47f10,DE
task_00000000000000000024730a,Shandong Meteorological Bureau,01kn5gg54,CN
task_00000000000000000024730b,Laboratoire d'Ecologie des Hydrosystèmes Naturels et Anthropisés,05pny1q12,FR
task_00000000000000000024730b,China Academy of Information and Communications Technology,038dte259,CN
task_00000000000000000024730b,Abraham Adesanya Polytechnic,05t8bf750,NG
task_00000000000000000024730b,Ashiya Municipal Hospital,010e6cb61,JP
task_00000000000000000024730c,Laboratoire d'Informatique en Images et Systèmes d'Information,04dv4he91,FR
task_00000000000000000024730c,Hashimoto Foundation,03pcxft69,JP
task_00000000000000000024730c,Faculdade Princesa do Oeste,05txt3n58,BR
task_00000000000000000024730c,Islamic Azad University Gonbad Kavoos Branch,037hpsz89,IR
